,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
15083,172.16.1.196,172.16.1.52,672.0,1612984976.0,100.0,1,1.0,0.27883817427385893
15042,172.16.1.196,172.16.1.52,689.0,1612984969.0,100.0,1,1.0,0.2858921161825726
14934,172.16.1.52,172.16.1.196,614.0,1612984945.0,100.0,1,1.0,0.25477178423236513
15021,172.16.1.52,172.16.1.196,860.0,1612984961.0,100.0,1,1.0,0.35684647302904565
15019,172.16.1.196,172.16.1.52,860.0,1612984961.0,100.0,1,1.0,0.35684647302904565
14986,172.16.1.52,172.16.1.196,665.0,1612984957.0,100.0,1,1.0,0.27593360995850624
14985,172.16.1.196,172.16.1.52,665.0,1612984957.0,100.0,1,1.0,0.27593360995850624
14958,172.16.1.52,172.16.1.196,694.0,1612984949.0,100.0,1,1.0,0.2879668049792531
14955,172.16.1.196,172.16.1.52,694.0,1612984949.0,100.0,1,1.0,0.2879668049792531
13765,172.16.1.52,172.16.1.196,601.0,1612984612.0,100.0,1,1.0,0.24937759336099585
13712,172.16.1.52,172.16.1.196,1446.0,1612984601.0,100.0,1,1.0,0.6
12599,172.16.1.196,172.16.1.52,646.0,1612984312.0,100.0,1,1.0,0.2680497925311203
12964,172.16.1.52,172.16.1.196,632.0,1612984413.0,100.0,1,1.0,0.26224066390041495
12953,172.16.1.52,172.16.1.196,638.0,1612984408.0,100.0,1,1.0,0.26473029045643154
12951,172.16.1.196,172.16.1.52,638.0,1612984408.0,100.0,1,1.0,0.26473029045643154
9369,172.16.1.196,172.16.1.52,689.0,1612983209.0,100.0,1,1.0,0.2858921161825726
9371,172.16.1.52,172.16.1.196,689.0,1612983209.0,100.0,1,1.0,0.2858921161825726
12921,172.16.1.52,172.16.1.196,636.0,1612984401.0,100.0,1,1.0,0.26390041493775934
12920,172.16.1.196,172.16.1.52,636.0,1612984401.0,100.0,1,1.0,0.26390041493775934
9388,172.16.1.196,172.16.1.52,619.0,1612983216.0,100.0,1,1.0,0.2568464730290456
9390,172.16.1.52,172.16.1.196,619.0,1612983216.0,100.0,1,1.0,0.2568464730290456
12882,172.16.1.52,172.16.1.196,631.0,1612984389.0,100.0,1,1.0,0.26182572614107885
12879,172.16.1.196,172.16.1.52,631.0,1612984389.0,100.0,1,1.0,0.26182572614107885
12871,172.16.1.52,172.16.1.196,631.0,1612984388.0,100.0,1,1.0,0.26182572614107885
12870,172.16.1.196,172.16.1.52,631.0,1612984388.0,100.0,1,1.0,0.26182572614107885
9420,172.16.1.196,172.16.1.52,859.0,1612983222.0,100.0,1,1.0,0.35643153526970955
9426,172.16.1.52,172.16.1.196,859.0,1612983222.0,100.0,1,1.0,0.35643153526970955
12843,172.16.1.52,172.16.1.196,448.0,1612984380.0,100.0,1,1.0,0.18589211618257262
