,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
301,172.16.1.196,172.16.1.52,428.0,2021-02-10 19:27:21,100.0,1,0.99999999998632,17.759336099585063
299,172.16.1.196,172.16.1.52,428.0,2021-02-10 19:25:21,100.0,1,0.99999999998632,17.759336099585063
302,172.16.1.52,172.16.1.196,428.0,2021-02-10 19:27:21,100.0,1,0.99999999998632,17.759336099585063
279,172.16.1.196,172.16.1.52,428.0,2021-02-10 19:20:20,100.0,1,0.99999999998632,17.759336099585063
300,172.16.1.52,172.16.1.196,428.0,2021-02-10 19:25:21,100.0,1,0.99999999998632,17.759336099585063
280,172.16.1.52,172.16.1.196,428.0,2021-02-10 19:20:20,100.0,1,0.99999999998632,17.759336099585063
304,172.16.1.52,172.16.1.196,427.0,2021-02-10 19:29:00,100.0,1,0.9999999999869147,17.717842323651453
303,172.16.1.196,172.16.1.52,427.0,2021-02-10 19:29:00,100.0,1,0.9999999999869147,17.717842323651453
243,172.16.1.196,172.16.1.52,426.0,2021-02-10 19:06:40,100.0,1,0.9999999999874833,17.676348547717843
244,172.16.1.52,172.16.1.196,426.0,2021-02-10 19:06:40,100.0,1,0.9999999999874833,17.676348547717843
332,172.16.1.52,172.16.1.196,426.0,2021-02-10 19:38:20,100.0,1,0.9999999999874833,17.676348547717843
331,172.16.1.196,172.16.1.52,426.0,2021-02-10 19:38:20,100.0,1,0.9999999999874833,17.676348547717843
296,172.16.1.52,172.16.1.196,426.0,2021-02-10 19:24:41,100.0,1,0.9999999999874833,17.676348547717843
295,172.16.1.196,172.16.1.52,426.0,2021-02-10 19:24:41,100.0,1,0.9999999999874833,17.676348547717843
253,172.16.1.196,172.16.1.52,426.0,2021-02-10 19:11:01,100.0,1,0.9999999999874833,17.676348547717843
254,172.16.1.52,172.16.1.196,425.0,2021-02-10 19:11:01,100.0,1,0.9999999999880274,17.634854771784234
171,172.16.1.52,50.245.225.205,423.0,2021-02-10 18:18:33,100.0,1,0.9999999999890454,17.55186721991701
172,50.245.225.205,172.16.1.52,423.0,2021-02-10 18:18:33,100.0,1,0.9999999999890454,17.55186721991701
333,172.16.1.196,172.16.1.52,419.0,2021-02-10 19:38:25,100.0,1,0.9999999999908293,17.38589211618257
334,172.16.1.52,172.16.1.196,419.0,2021-02-10 19:38:25,100.0,1,0.9999999999908293,17.38589211618257
291,172.16.1.196,172.16.1.52,418.0,2021-02-10 19:24:01,100.0,1,0.9999999999912279,17.34439834024896
269,172.16.1.196,172.16.1.52,418.0,2021-02-10 19:15:40,100.0,1,0.9999999999912279,17.34439834024896
270,172.16.1.52,172.16.1.196,418.0,2021-02-10 19:15:40,100.0,1,0.9999999999912279,17.34439834024896
292,172.16.1.52,172.16.1.196,418.0,2021-02-10 19:24:01,100.0,1,0.9999999999912279,17.34439834024896
284,172.16.1.52,172.16.1.196,417.0,2021-02-10 19:21:01,100.0,1,0.9999999999916092,17.30290456431535
283,172.16.1.196,172.16.1.52,417.0,2021-02-10 19:21:01,100.0,1,0.9999999999916092,17.30290456431535
218,172.16.1.52,172.16.1.196,417.0,2021-02-10 19:01:20,100.0,1,0.9999999999916092,17.30290456431535
217,172.16.1.196,172.16.1.52,417.0,2021-02-10 19:01:20,100.0,1,0.9999999999916092,17.30290456431535
153,172.16.1.52,50.245.225.205,416.0,2021-02-10 18:15:08,100.0,1,0.999999999991974,17.261410788381742
154,50.245.225.205,172.16.1.52,416.0,2021-02-10 18:15:08,100.0,1,0.999999999991974,17.261410788381742
293,172.16.1.196,172.16.1.52,414.0,2021-02-10 19:24:20,100.0,1,0.9999999999926565,17.178423236514522
294,172.16.1.52,172.16.1.196,414.0,2021-02-10 19:24:20,100.0,1,0.9999999999926565,17.178423236514522
246,172.16.1.52,172.16.1.196,414.0,2021-02-10 19:07:00,100.0,1,0.9999999999926565,17.178423236514522
245,172.16.1.196,172.16.1.52,414.0,2021-02-10 19:07:00,100.0,1,0.9999999999926565,17.178423236514522
316,172.16.1.52,172.16.1.196,410.0,2021-02-10 19:36:44,100.0,1,0.9999999999938523,17.012448132780083
315,172.16.1.196,172.16.1.52,410.0,2021-02-10 19:36:44,100.0,1,0.9999999999938523,17.012448132780083
149,172.16.1.52,50.245.225.205,409.0,2021-02-10 18:14:48,100.0,1,0.9999999999941196,16.970954356846473
150,50.245.225.205,172.16.1.52,409.0,2021-02-10 18:14:48,100.0,1,0.9999999999941196,16.970954356846473
259,172.16.1.196,172.16.1.52,408.0,2021-02-10 19:12:40,100.0,1,0.9999999999943752,16.929460580912863
260,172.16.1.52,172.16.1.196,408.0,2021-02-10 19:12:40,100.0,1,0.9999999999943752,16.929460580912863
272,172.16.1.52,172.16.1.196,404.0,2021-02-10 19:17:20,100.0,1,0.9999999999952911,16.76348547717842
271,172.16.1.196,172.16.1.52,404.0,2021-02-10 19:17:20,100.0,1,0.9999999999952911,16.76348547717842
205,172.16.1.196,172.16.1.52,402.0,2021-02-10 18:59:41,100.0,1,0.9999999999956914,16.6804979253112
206,172.16.1.52,172.16.1.196,402.0,2021-02-10 18:59:41,100.0,1,0.9999999999956914,16.6804979253112
170,50.245.225.205,172.16.1.52,401.0,2021-02-10 18:18:21,100.0,1,0.9999999999958789,16.63900414937759
169,172.16.1.52,50.245.225.205,401.0,2021-02-10 18:18:21,100.0,1,0.9999999999958789,16.63900414937759
274,172.16.1.52,172.16.1.196,397.0,2021-02-10 19:19:40,100.0,1,0.9999999999965499,16.473029045643152
273,172.16.1.196,172.16.1.52,397.0,2021-02-10 19:19:40,100.0,1,0.9999999999965499,16.473029045643152
312,50.230.35.38,172.16.1.96,396.0,2021-02-10 19:35:48,100.0,1,0.9999999999967,16.431535269709542
311,172.16.1.96,50.230.35.38,396.0,2021-02-10 19:35:48,100.0,1,0.9999999999967,16.431535269709542
211,172.16.1.196,172.16.1.52,395.0,2021-02-10 19:00:40,100.0,1,0.9999999999968434,16.390041493775932
282,172.16.1.52,172.16.1.196,395.0,2021-02-10 19:20:40,100.0,1,0.9999999999968434,16.390041493775932
281,172.16.1.196,172.16.1.52,395.0,2021-02-10 19:20:40,100.0,1,0.9999999999968434,16.390041493775932
212,172.16.1.52,172.16.1.196,395.0,2021-02-10 19:00:40,100.0,1,0.9999999999968434,16.390041493775932
164,50.245.225.205,172.16.1.52,393.0,2021-02-10 18:17:36,100.0,1,0.9999999999971116,16.307053941908713
163,172.16.1.52,50.245.225.205,393.0,2021-02-10 18:17:36,100.0,1,0.9999999999971116,16.307053941908713
198,172.16.1.52,172.16.1.196,392.0,2021-02-10 18:51:40,100.0,1,0.9999999999972373,16.265560165975103
191,172.16.1.196,172.16.1.52,392.0,2021-02-10 18:50:28,100.0,1,0.9999999999972373,16.265560165975103
192,172.16.1.52,172.16.1.196,392.0,2021-02-10 18:50:28,100.0,1,0.9999999999972373,16.265560165975103
197,172.16.1.196,172.16.1.52,392.0,2021-02-10 18:51:40,100.0,1,0.9999999999972373,16.265560165975103
234,172.16.1.52,172.16.1.196,390.0,2021-02-10 19:04:01,100.0,1,0.9999999999974722,16.182572614107883
233,172.16.1.196,172.16.1.52,390.0,2021-02-10 19:04:01,100.0,1,0.9999999999974722,16.182572614107883
263,172.16.1.196,172.16.1.52,389.0,2021-02-10 19:13:20,100.0,1,0.9999999999975822,16.141078838174273
264,172.16.1.52,172.16.1.196,389.0,2021-02-10 19:13:20,100.0,1,0.9999999999975822,16.141078838174273
219,172.16.1.196,172.16.1.52,388.0,2021-02-10 19:01:40,100.0,1,0.9999999999976872,16.099585062240664
220,172.16.1.52,172.16.1.196,388.0,2021-02-10 19:01:40,100.0,1,0.9999999999976872,16.099585062240664
236,172.16.1.52,172.16.1.196,386.0,2021-02-10 19:04:20,100.0,1,0.9999999999978839,16.016597510373444
235,172.16.1.196,172.16.1.52,386.0,2021-02-10 19:04:20,100.0,1,0.9999999999978839,16.016597510373444
158,50.245.225.205,172.16.1.52,386.0,2021-02-10 18:16:28,100.0,1,0.9999999999978839,16.016597510373444
157,172.16.1.52,50.245.225.205,386.0,2021-02-10 18:16:28,100.0,1,0.9999999999978839,16.016597510373444
232,172.16.1.52,172.16.1.196,385.0,2021-02-10 19:03:40,100.0,1,0.9999999999979758,15.975103734439832
231,172.16.1.196,172.16.1.52,385.0,2021-02-10 19:03:40,100.0,1,0.9999999999979758,15.975103734439832
